[15:59:39.170] Namespace(data='colon', save_dir='./implementation/colon/full', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_full.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='full')
[15:59:42.459] epoch: 0/200, iter: 0/3469: loss:1.2203: rank:-1
[16:00:13.281] epoch: 0/200, iter: 1/3469: loss:1.1587: rank:-1
[16:00:15.435] epoch: 0/200, iter: 2/3469: loss:2.4534: rank:-1
[16:00:21.764] epoch: 0/200, iter: 3/3469: loss:2.1361: rank:-1
[16:00:25.496] epoch: 0/200, iter: 4/3469: loss:1.4612: rank:-1
[16:00:34.987] epoch: 0/200, iter: 5/3469: loss:0.9986: rank:-1
[16:00:52.058] epoch: 0/200, iter: 6/3469: loss:1.1127: rank:-1
[16:00:57.639] epoch: 0/200, iter: 7/3469: loss:1.4172: rank:-1
[16:01:15.053] epoch: 0/200, iter: 8/3469: loss:0.9904: rank:-1
[16:01:17.087] epoch: 0/200, iter: 9/3469: loss:1.3462: rank:-1
[16:01:19.012] epoch: 0/200, iter: 10/3469: loss:0.718: rank:-1
[16:01:35.789] epoch: 0/200, iter: 11/3469: loss:0.9241: rank:-1
[16:01:37.773] epoch: 0/200, iter: 12/3469: loss:1.6244: rank:-1
[16:01:53.999] epoch: 0/200, iter: 13/3469: loss:1.1868: rank:-1
[16:02:11.440] epoch: 0/200, iter: 14/3469: loss:1.0139: rank:-1
[16:02:17.234] epoch: 0/200, iter: 15/3469: loss:1.0248: rank:-1
[16:02:20.834] epoch: 0/200, iter: 16/3469: loss:1.4771: rank:-1
[16:02:22.668] epoch: 0/200, iter: 17/3469: loss:0.7755: rank:-1
[16:02:24.356] epoch: 0/200, iter: 18/3469: loss:0.8176: rank:-1
