[16:29:13.657] Namespace(data='colon', save_dir='./implementation/colon/small', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_small.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='small')
[16:29:49.539] epoch: 0/200, iter: 0/479: loss:1.4986: rank:-1
[16:30:17.268] epoch: 0/200, iter: 1/479: loss:1.2303: rank:-1
[16:30:45.050] epoch: 0/200, iter: 2/479: loss:1.1015: rank:-1
[16:31:12.889] epoch: 0/200, iter: 3/479: loss:1.123: rank:-1
[16:31:40.354] epoch: 0/200, iter: 4/479: loss:0.9376: rank:-1
[16:32:07.680] epoch: 0/200, iter: 5/479: loss:0.8935: rank:-1
[16:32:35.077] epoch: 0/200, iter: 6/479: loss:0.8209: rank:-1
[16:33:02.872] epoch: 0/200, iter: 7/479: loss:1.0874: rank:-1
[16:33:30.205] epoch: 0/200, iter: 8/479: loss:0.8438: rank:-1
[16:33:57.840] epoch: 0/200, iter: 9/479: loss:0.8875: rank:-1
[16:34:25.413] epoch: 0/200, iter: 10/479: loss:1.0843: rank:-1
[16:34:52.678] epoch: 0/200, iter: 11/479: loss:1.0174: rank:-1
[16:35:20.542] epoch: 0/200, iter: 12/479: loss:0.9492: rank:-1
[16:35:47.801] epoch: 0/200, iter: 13/479: loss:0.9119: rank:-1
[16:36:15.422] epoch: 0/200, iter: 14/479: loss:1.0725: rank:-1
[16:36:43.010] epoch: 0/200, iter: 15/479: loss:0.8561: rank:-1
[16:37:10.765] epoch: 0/200, iter: 16/479: loss:1.0257: rank:-1
[16:37:38.130] epoch: 0/200, iter: 17/479: loss:0.7092: rank:-1
[16:38:05.701] epoch: 0/200, iter: 18/479: loss:0.9781: rank:-1
[16:38:33.217] epoch: 0/200, iter: 19/479: loss:0.9657: rank:-1
[16:39:00.568] epoch: 0/200, iter: 20/479: loss:1.0121: rank:-1
[16:39:27.866] epoch: 0/200, iter: 21/479: loss:0.8246: rank:-1
[16:39:55.290] epoch: 0/200, iter: 22/479: loss:0.845: rank:-1
[16:40:22.768] epoch: 0/200, iter: 23/479: loss:0.7854: rank:-1
[16:40:50.269] epoch: 0/200, iter: 24/479: loss:0.8852: rank:-1
[16:41:17.864] epoch: 0/200, iter: 25/479: loss:0.9941: rank:-1
[16:41:45.254] epoch: 0/200, iter: 26/479: loss:0.889: rank:-1
[16:42:12.742] epoch: 0/200, iter: 27/479: loss:0.8905: rank:-1
[16:42:40.340] epoch: 0/200, iter: 28/479: loss:0.9601: rank:-1
[16:43:07.782] epoch: 0/200, iter: 29/479: loss:0.7509: rank:-1
[16:43:35.014] epoch: 0/200, iter: 30/479: loss:0.7739: rank:-1
[16:44:02.403] epoch: 0/200, iter: 31/479: loss:0.7889: rank:-1
[16:44:29.797] epoch: 0/200, iter: 32/479: loss:0.7317: rank:-1
[16:44:57.155] epoch: 0/200, iter: 33/479: loss:0.7377: rank:-1
[16:45:21.537] epoch: 0/200, iter: 34/479: loss:0.9082: rank:-1
[16:45:48.631] epoch: 0/200, iter: 35/479: loss:0.8395: rank:-1
[16:45:51.686] epoch: 0/200, iter: 36/479: loss:0.8676: rank:-1
[16:46:18.763] epoch: 0/200, iter: 37/479: loss:0.8203: rank:-1
[16:46:46.118] epoch: 0/200, iter: 38/479: loss:0.8705: rank:-1
[16:47:13.445] epoch: 0/200, iter: 39/479: loss:0.8979: rank:-1
[16:47:40.581] epoch: 0/200, iter: 40/479: loss:0.8085: rank:-1
[16:48:08.040] epoch: 0/200, iter: 41/479: loss:1.1293: rank:-1
[16:48:35.404] epoch: 0/200, iter: 42/479: loss:0.8796: rank:-1
[16:49:02.648] epoch: 0/200, iter: 43/479: loss:0.9383: rank:-1
[16:49:30.070] epoch: 0/200, iter: 44/479: loss:0.7641: rank:-1
[16:49:57.502] epoch: 0/200, iter: 45/479: loss:0.8993: rank:-1
[16:50:24.914] epoch: 0/200, iter: 46/479: loss:0.7968: rank:-1
[16:50:28.017] epoch: 0/200, iter: 47/479: loss:1.0248: rank:-1
[16:50:55.310] epoch: 0/200, iter: 48/479: loss:0.6622: rank:-1
[16:51:22.302] epoch: 0/200, iter: 49/479: loss:0.8585: rank:-1
[16:51:49.608] epoch: 0/200, iter: 50/479: loss:0.8243: rank:-1
[16:52:16.776] epoch: 0/200, iter: 51/479: loss:0.9993: rank:-1
[16:52:43.815] epoch: 0/200, iter: 52/479: loss:0.9161: rank:-1
[16:53:11.257] epoch: 0/200, iter: 53/479: loss:0.8313: rank:-1
[16:53:38.573] epoch: 0/200, iter: 54/479: loss:0.7931: rank:-1
[16:54:05.865] epoch: 0/200, iter: 55/479: loss:0.9839: rank:-1
[16:54:33.168] epoch: 0/200, iter: 56/479: loss:0.8113: rank:-1
[16:55:00.473] epoch: 0/200, iter: 57/479: loss:0.7337: rank:-1
[16:55:27.873] epoch: 0/200, iter: 58/479: loss:0.7666: rank:-1
[16:55:34.067] epoch: 0/200, iter: 59/479: loss:1.8407: rank:-1
[16:56:01.293] epoch: 0/200, iter: 60/479: loss:0.7334: rank:-1
[16:56:28.631] epoch: 0/200, iter: 61/479: loss:0.7892: rank:-1
[16:56:31.782] epoch: 0/200, iter: 62/479: loss:1.7319: rank:-1
[16:56:59.033] epoch: 0/200, iter: 63/479: loss:0.7114: rank:-1
[16:57:26.618] epoch: 0/200, iter: 64/479: loss:0.8275: rank:-1
[16:57:53.857] epoch: 0/200, iter: 65/479: loss:0.7323: rank:-1
[16:58:21.179] epoch: 0/200, iter: 66/479: loss:0.8499: rank:-1
[16:58:48.468] epoch: 0/200, iter: 67/479: loss:0.6611: rank:-1
[16:59:16.037] epoch: 0/200, iter: 68/479: loss:0.8207: rank:-1
[16:59:43.092] epoch: 0/200, iter: 69/479: loss:0.7836: rank:-1
[17:00:09.972] epoch: 0/200, iter: 70/479: loss:1.1025: rank:-1
[17:00:37.327] epoch: 0/200, iter: 71/479: loss:1.1257: rank:-1
[17:01:04.537] epoch: 0/200, iter: 72/479: loss:0.7226: rank:-1
[17:01:31.885] epoch: 0/200, iter: 73/479: loss:0.687: rank:-1
[17:01:59.167] epoch: 0/200, iter: 74/479: loss:0.7242: rank:-1
[17:02:26.780] epoch: 0/200, iter: 75/479: loss:1.1408: rank:-1
[17:02:54.147] epoch: 0/200, iter: 76/479: loss:0.7638: rank:-1
[17:03:21.502] epoch: 0/200, iter: 77/479: loss:0.7012: rank:-1
[17:03:48.491] epoch: 0/200, iter: 78/479: loss:0.7025: rank:-1
[17:04:15.702] epoch: 0/200, iter: 79/479: loss:0.7251: rank:-1
[17:04:43.090] epoch: 0/200, iter: 80/479: loss:0.848: rank:-1
[17:05:10.439] epoch: 0/200, iter: 81/479: loss:0.7591: rank:-1
[17:05:37.775] epoch: 0/200, iter: 82/479: loss:0.6769: rank:-1
[17:06:05.204] epoch: 0/200, iter: 83/479: loss:0.8266: rank:-1
[17:06:32.669] epoch: 0/200, iter: 84/479: loss:0.7211: rank:-1
[17:06:59.515] epoch: 0/200, iter: 85/479: loss:0.7321: rank:-1
[17:07:26.958] epoch: 0/200, iter: 86/479: loss:0.7897: rank:-1
[17:07:54.418] epoch: 0/200, iter: 87/479: loss:0.9128: rank:-1
[17:08:21.769] epoch: 0/200, iter: 88/479: loss:0.5988: rank:-1
[17:08:49.171] epoch: 0/200, iter: 89/479: loss:0.6491: rank:-1
[17:09:15.959] epoch: 0/200, iter: 90/479: loss:0.6408: rank:-1
[17:09:43.247] epoch: 0/200, iter: 91/479: loss:0.7776: rank:-1
[17:10:10.568] epoch: 0/200, iter: 92/479: loss:0.6118: rank:-1
[17:10:34.640] epoch: 0/200, iter: 93/479: loss:0.7233: rank:-1
[17:10:37.745] epoch: 0/200, iter: 94/479: loss:0.9965: rank:-1
[17:11:05.088] epoch: 0/200, iter: 95/479: loss:0.548: rank:-1
[17:11:32.287] epoch: 0/200, iter: 96/479: loss:0.6529: rank:-1
